level,type,attribute,instance,message
error,schema,IfcRelSpaceBoundary.RelatedBuildingElement,"#78592=IfcRelSpaceBoundary('2GnYVfNeYR6NOPkw4t5oDJ',#12,'2ndLevel','2a',#76214,$,#78591,.VIRTUAL.,.EXTERNAL.)",Attribute not optional
error,schema,IfcRelSpaceBoundary.RelatedBuildingElement,"#77981=IfcRelSpaceBoundary('2vfaTwq4m5$ujNRFPaGpdU',#12,'2ndLevel','2a',#34191,$,#77980,.VIRTUAL.,.EXTERNAL.)",Attribute not optional
error,schema,IfcRelSpaceBoundary.RelatedBuildingElement,"#78009=IfcRelSpaceBoundary('1$5LZayB5FfW_ApqaofJ6x',#12,'2ndLevel','2a',#34191,$,#78008,.VIRTUAL.,.EXTERNAL.)",Attribute not optional
error,schema,IfcRelSpaceBoundary.RelatedBuildingElement,"#77953=IfcRelSpaceBoundary('3ajGAdZJqM2TVCk7YhD3JS',#12,'2ndLevel','2a',#34191,$,#77952,.VIRTUAL.,.EXTERNAL.)",Attribute not optional
error,schema,IfcRelSpaceBoundary.RelatedBuildingElement,"#77426=IfcRelSpaceBoundary('2IcFpKExJ7L0xqSikQ$RMc',#12,'2ndLevel','2a',#33774,$,#77425,.VIRTUAL.,.EXTERNAL.)",Attribute not optional
error,simpletype_rule,IfcPositiveRatioMeasure.WR1,"#20397=IfcPropertySingleValue('EmbodiedEnergy',$,IfcPositiveRatioMeasure(0.),$)","(SELF > 0.0) Violated by: (0.0 > 0.0) On instance: #20397=IfcPropertySingleValue('EmbodiedEnergy',$,IfcPositiveRatioMeasure(0.),$)"
error,simpletype_rule,IfcPositiveRatioMeasure.WR1,"#20398=IfcPropertySingleValue('EmbodiedCarbon',$,IfcPositiveRatioMeasure(0.),$)","(SELF > 0.0) Violated by: (0.0 > 0.0) On instance: #20398=IfcPropertySingleValue('EmbodiedCarbon',$,IfcPositiveRatioMeasure(0.),$)"
error,simpletype_rule,IfcPositiveRatioMeasure.WR1,"#15065=IfcPropertySingleValue('EmbodiedEnergy',$,IfcPositiveRatioMeasure(0.),$)","(SELF > 0.0) Violated by: (0.0 > 0.0) On instance: #15065=IfcPropertySingleValue('EmbodiedEnergy',$,IfcPositiveRatioMeasure(0.),$)"
error,simpletype_rule,IfcPositiveRatioMeasure.WR1,"#15066=IfcPropertySingleValue('EmbodiedCarbon',$,IfcPositiveRatioMeasure(0.),$)","(SELF > 0.0) Violated by: (0.0 > 0.0) On instance: #15066=IfcPropertySingleValue('EmbodiedCarbon',$,IfcPositiveRatioMeasure(0.),$)"
error,simpletype_rule,IfcPositiveRatioMeasure.WR1,"#59313=IfcPropertySingleValue('EmbodiedEnergy',$,IfcPositiveRatioMeasure(0.),$)","(SELF > 0.0) Violated by: (0.0 > 0.0) On instance: #59313=IfcPropertySingleValue('EmbodiedEnergy',$,IfcPositiveRatioMeasure(0.),$)"
error,simpletype_rule,IfcPositiveRatioMeasure.WR1,"#59314=IfcPropertySingleValue('EmbodiedCarbon',$,IfcPositiveRatioMeasure(0.),$)","(SELF > 0.0) Violated by: (0.0 > 0.0) On instance: #59314=IfcPropertySingleValue('EmbodiedCarbon',$,IfcPositiveRatioMeasure(0.),$)"
error,simpletype_rule,IfcPositiveRatioMeasure.WR1,"#34524=IfcPropertySingleValue('EmbodiedEnergy',$,IfcPositiveRatioMeasure(0.),$)","(SELF > 0.0) Violated by: (0.0 > 0.0) On instance: #34524=IfcPropertySingleValue('EmbodiedEnergy',$,IfcPositiveRatioMeasure(0.),$)"
error,simpletype_rule,IfcPositiveRatioMeasure.WR1,"#34525=IfcPropertySingleValue('EmbodiedCarbon',$,IfcPositiveRatioMeasure(0.),$)","(SELF > 0.0) Violated by: (0.0 > 0.0) On instance: #34525=IfcPropertySingleValue('EmbodiedCarbon',$,IfcPositiveRatioMeasure(0.),$)"
error,entity_rule,IfcOwnerHistory.CorrectChangeAction,"#12=IfcOwnerHistory(#7,#11,$,.ADDED.,$,$,$,1482339244)","(exists(lastmodifieddate) or (not exists(lastmodifieddate) and (not exists(changeaction))) or (not exists(lastmodifieddate) and exists(changeaction) and (changeaction == IfcChangeActionEnum.NOTDEFINED or changeaction == IfcChangeActionEnum.NOCHANGE))) Violated by: ((False or (not False and not True) or (not False and True and ('ADDED' == 'NOTDEFINED' or 'ADDED' == 'NOCHANGE')))) + where False = exists(<indeterminate_type object at 0x000002893A3CE2D0>) + and False = exists(<indeterminate_type object at 0x000002893A3CE2D0>) + and True = exists('ADDED') + and False = exists(<indeterminate_type object at 0x000002893A3CE2D0>) + and True = exists('ADDED') + and 'NOTDEFINED' = IfcChangeActionEnum.NOTDEFINED + and 'NOCHANGE' = IfcChangeActionEnum.NOCHANGE On instance: #12=IfcOwnerHistory(#7,#11,$,.ADDED.,$,$,$,1482339244)"
error,entity_rule,IfcQuantityLength.WR22,"#34642=IfcQuantityLength('Höhenwert Unterkante',$,$,-0.20000000000000001,$)","(lengthvalue >= 0.0) Violated by: (-0.2 >= 0.0) On instance: #34642=IfcQuantityLength('Höhenwert Unterkante',$,$,-0.20000000000000001,$)"
error,entity_rule,IfcQuantityLength.WR22,"#67406=IfcQuantityLength('Horizontaler Abstand (gs_ah2)',$,$,-0.050000000000000003,$)","(lengthvalue >= 0.0) Violated by: (-0.05 >= 0.0) On instance: #67406=IfcQuantityLength('Horizontaler Abstand (gs_ah2)',$,$,-0.050000000000000003,$)"
error,entity_rule,IfcQuantityLength.WR22,"#67408=IfcQuantityLength('Horizontaler Abstand (gs_ah3)',$,$,-0.050000000000000003,$)","(lengthvalue >= 0.0) Violated by: (-0.05 >= 0.0) On instance: #67408=IfcQuantityLength('Horizontaler Abstand (gs_ah3)',$,$,-0.050000000000000003,$)"
error,entity_rule,IfcQuantityLength.WR22,"#67413=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T5_yOffset)',$,$,-0.14999999999999999,$)","(lengthvalue >= 0.0) Violated by: (-0.15 >= 0.0) On instance: #67413=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T5_yOffset)',$,$,-0.14999999999999999,$)"
error,entity_rule,IfcQuantityLength.WR22,"#67415=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T6_yOffset)',$,$,-0.14999999999999999,$)","(lengthvalue >= 0.0) Violated by: (-0.15 >= 0.0) On instance: #67415=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T6_yOffset)',$,$,-0.14999999999999999,$)"
error,entity_rule,IfcQuantityLength.WR22,"#75227=IfcQuantityLength('Horizontaler Abstand (gs_ah2)',$,$,-0.050000000000000003,$)","(lengthvalue >= 0.0) Violated by: (-0.05 >= 0.0) On instance: #75227=IfcQuantityLength('Horizontaler Abstand (gs_ah2)',$,$,-0.050000000000000003,$)"
error,entity_rule,IfcQuantityLength.WR22,"#75229=IfcQuantityLength('Horizontaler Abstand (gs_ah3)',$,$,-0.050000000000000003,$)","(lengthvalue >= 0.0) Violated by: (-0.05 >= 0.0) On instance: #75229=IfcQuantityLength('Horizontaler Abstand (gs_ah3)',$,$,-0.050000000000000003,$)"
error,entity_rule,IfcQuantityLength.WR22,"#75234=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T5_yOffset)',$,$,-0.14999999999999999,$)","(lengthvalue >= 0.0) Violated by: (-0.15 >= 0.0) On instance: #75234=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T5_yOffset)',$,$,-0.14999999999999999,$)"
error,entity_rule,IfcQuantityLength.WR22,"#75236=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T6_yOffset)',$,$,-0.14999999999999999,$)","(lengthvalue >= 0.0) Violated by: (-0.15 >= 0.0) On instance: #75236=IfcQuantityLength('Vertikaler Abstand (gs_PlanViewInfos_T6_yOffset)',$,$,-0.14999999999999999,$)"
